Species	Assessment	Tanglees	IDs	Metadata
Eupoecilia angustana	monophyletic		MM02556,BC ZSM Lep 23330,MM09005,RMNH.INS.538805,BC ZSM Lep 23110,RMNH.INS.538803,MM11846,UKLB40B09,RMNH.INS.538525,RMNH.INS.538812,BC ZSM Lep 25151,TLMF Lep 07702,UKLB31A01,NHMO-08227	
Eupoecilia sanguisorbana	monophyletic		MM18869,TLMF Lep 08442,BC ZSM Lep 23113,BC ZSM Lep 27224,BC ZSM Lep 25777	
Exapate congelatella	monophyletic		MM18609,MM20699,MM10195,UKLB33G02,MM20698,MM02714,MM10196	
Exapate duratella	monophyletic		TLMF Lep 03357,TLMF Lep 03356,TLMF Lep 04053,TLMF Lep 04052,TLMF Lep 04054	
Falseuncaria degreyana	monophyletic		NHMO-08258,MM19613,MM17770,MM19202,MM19201,MM19200	
Falseuncaria ruficiliana	monophyletic		TLMF Lep 08046,TLMF Lep 07514,BC ZSM Lep 61524,TLMF Lep 04269,BC ZSM Lep 23120,BC ZSM Lep 37976,MM13300,TLMF Lep 01549,TLMF Lep 01503,TLMF Lep 05365,BC ZSM Lep 23344,TLMF Lep 05251,TLMF Lep 00522,TLMF Lep 00833,MM09521,TLMF Lep 00834,UKLB42A05,MM18278	
Fulvoclysia nerminae	monophyletic		KLM Lep 00329,BC ZSM Lep 38030	
Gynnidomorpha alismana	paraphyletic	Gynnidomorpha vectisana	TLMF Lep 08448,BC ZSM Lep 23106,TLMF Lep 05100,MM19266,MM18632,MM19265,MM17336	
Gynnidomorpha luridana	monophyletic		TLMF Lep 06439,MM17589,MM21139,MM17757,MM19936,MM15671,MM17758	
Gynnidomorpha minimana	monophyletic		MM03910,MM08602,MM14234,MM10060,BC ZSM Lep 28582	
Gynnidomorpha permixtana	monophyletic		MM21042,MM02555,MM18269,MM17759,MM19934,TLMF Lep 03703,TLMF Lep 03702	
Gynnidomorpha vectisana	monophyletic		MM10086,MM17978,MM21171,MM08653,MM03530	
Isotrias cuencana	monophyletic		TLMF Lep 04029,TLMF Lep 04030	
Isotrias rectifasciana	monophyletic		UKLB31H01,BC ZSM Lep 23428,TLMF Lep 07964,BC ZSM Lep 23429,BC ZSM Lep 25232,MM19631,BC ZSM Lep 23207	
Lozotaenia cupidinana	monophyletic		TLMF Lep 03200,TLMF Lep 03201	
Lozotaenia forsterana	monophyletic		MM09762,MM05252,UKLB30B06,MM10414,MM06721,MM01906,BC ZSM Lep 25569,MM02978,MM08816,UKLB17C01,MM11746,BC ZSM Lep 61215,MM04130,MM04148,MM11747,MM12326,MM01907,UKLB28H12,UKLB25A02,UKLB19G01,UKLB28C09,UKLB42F11,TLMF Lep 02331,MM02979,MM06334,MM06295,NHMO-06079,MM19628,BC ZSM Lep 23194	
Lozotaeniodes cupressana	monophyletic		TLMF Lep 03202,TLMF Lep 03203	
Lozotaeniodes formosana	monophyletic		TLMF Lep 03204,UKLB6B01,RMNH.INS.538489,UKLB23H03,UKLB26E07,UKLB29G09	
Neosphaleroptera nubilana	monophyletic		BC ZSM Lep 28738,MM06729,MM05492,MM06728,RMNH.INS.540893,UKLB32H08,UKLB40D01	
Olindia schumacherana	monophyletic		MM05665,UKLB29G02,BC ZSM Lep 23427,MM08639,MM05669,MM18938,BC ZSM Lep 23206,BC ZSM Lep 23205	
Pandemis cerasana	monophyletic		BC ZSM Lep 23131,RMNH.INS.540877,MM02012,UKLB23E12,MM13194,MM03256,RMNH.INS.539106,BC ZSM Lep 23411,UKLB28B11,BC ZSM Lep 25140,BC ZSM Lep 23132,UKLB20E07,UKLB28A03,BC ZSM Lep 50727,BC ZSM Lep 28480,UKLB18G12,RMNH.INS.540866,BC ZSM Lep 23410,BC ZSM Lep 28483,TLMF Lep 08018,UKLB34D06,TLMF Lep 02143,UKLB32D09,RMNH.INS.540713,BC ZSM Lep 25552,UKLB28D01	
Pandemis cinnamomeana	monophyletic		MM03365,UKLB30C07,MM01076,MM01075,TLMF Lep 08017,BC ZSM Lep 23129,BC ZSM Lep 23407,MM13198	
Pandemis corylana	monophyletic		MM11008,BC ZSM Lep 23130,BC ZSM Lep 23409,UKLB40B11,UKLB30G06,RMNH.INS.541034,MM18255,MM17271,UKLB29B09,TLMF Lep 02192,BC ZSM Lep 28696,UKLB33E02,TLMF Lep 04324,UKLB43D05,BC ZSM Lep 23408	
Pandemis dumetana	monophyletic		BC ZSM Lep 23135,NHMO-06154,BC ZSM Lep 25138,TLMF Lep 04479,TLMF Lep 08419,MM03507,MM04989,MM03574,BC ZSM Lep 23413	
Pandemis heparana	monophyletic		UKLB5B05,NHMO-08212,UKLB40B12,MM11856,BC ZSM Lep 25139,BC ZSM Lep 23134,BC ZSM Lep 64378,RMNH.INS.539088,UKLB27B04,RMNH.INS.538490,RMNH.INS.544485,TLMF Lep 07301,UKLB38H04,UKLB38G12,RMNH.INS.539087,UKLB32H05,MM02014,RMNH.INS.539098,RMNH.INS.539063,RMNH.INS.539085,MM13196,UKLB22C06,BC ZSM Lep 23412,UKLB24B02	
Paramesia gnomana	monophyletic		TLMF Lep 04352,TLMF Lep 00644,BC ZSM Lep 53231,MM09514,MM05005,RMNH.INS.540969,MM14538,BC ZSM Lep 50855,BC ZSM Lep 25149,NHMO-06149	
Periclepsis cinctana	monophyletic		BC ZSM Lep 25735,MM20671,MM19625	
Phalonidia affinitana	monophyletic		UKLB29G03	
Phalonidia albipalpana	monophyletic		TLMF Lep 05003,TLMF Lep 05004	
Phalonidia contractana	monophyletic		TLMF Lep 03211,TLMF Lep 03210	
Phalonidia curvistrigana	monophyletic		MM02415,BC ZSM Lep 25155,BC ZSM Lep 38029,MM02414,BC ZSM Lep 28500,NHMO-08248,UKLB27D06,MM02416	
Phalonidia gilvicomana	monophyletic		TLMF Lep 08226,MM19244,MM19245	
Phalonidia manniana	polyphyletic	Phalonidia affinitana,Phalonidia udana	TLMF Lep 05103,MM20726,MM14233,TLMF Lep 05107,MM14232,TLMF Lep 05101,TLMF Lep 05106	
Phalonidia udana	monophyletic		MM10088,MM18631,MM21093,MM09522,MM10087,MM20990,MM06131,MM11908	
Philedone gerningana	monophyletic		TLMF Lep 06446,BC ZSM Lep 23393,TLMF Lep 04355,UKLB15G12,BC ZSM Lep 23394,BC ZSM Lep 23093,MM15660,MM15661,MM18265	
Philedonides lunana	paraphyletic	Philedonides rhombicana	MM05393,MM08757,MM18263,MM21213,MM04056,MM18264,MM21212	
Philedonides rhombicana	monophyletic		TLMF Lep 06557	
Phtheochroa drenowskyi	monophyletic		TLMF Lep 05081,TLMF Lep 01572,TLMF Lep 03037	
Phtheochroa duponchelana	monophyletic		NHMO Lep08295	
Phtheochroa frigidana	paraphyletic	Phtheochroa drenowskyi	TLMF Lep 00934,TLMF Lep 08349,TLMF Lep 08334,TLMF Lep 08336,TLMF Lep 08335	
Phtheochroa inopiana	monophyletic		MM02118,UKLB27B07,BC ZSM Lep 27387,MM15670,BC ZSM Lep 23103,TLMF Lep 08084,BC ZSM Lep 27386,TLMF Lep 04469,MM02117	
Phtheochroa rugosana	monophyletic		UKLB30D10,TLMF Lep 03223	
Phtheochroa sodaliana	monophyletic		MM17753,MM17752,BC ZSM Lep 23105,MM17751	
Phtheochroa vulneratana	monophyletic		NHMO-06127,MM10310,MM06092,MM04162,TLMF Lep 02748,MM04163	
Prochlidonia amiantana	monophyletic		TLMF Lep 01545	
Pseudargyrotoza conwagana	monophyletic		UKLB30F08,TLMF Lep 07927,UKLB32C04,UKLB34B10,BC ZSM Lep 53228,UKLB28H08,BC ZSM Lep 25137,UKLB20F01,RMNH.INS.538990,TLMF Lep 02144,MM14310,MM11917,UKLB25A06,MM00680	
Ptycholoma lecheana	monophyletic		MM01910,BC ZSM Lep 61212,RMNH.INS.540602,TLMF Lep 04228,MM14220,BC ZSM Lep 23128,MM14280,BC ZSM Lep 23406,UKLB42C02,UKLB40C07,UKLB29H09	
Ptycholomoides aeriferana	monophyletic		MM20672,BC ZSM Lep 23405,BC ZSM Lep 23127,TLMF Lep 00873,MM19627,BC ZSM Lep 28674	
Sparganothis pilleriana	monophyletic		UKLB43A09,TLMF Lep 08449,BC ZSM Lep 64303	
Sparganothis praecana	monophyletic		MM14580,TLMF Lep 02890,BC ZSM Lep 28760,MM04145,MM04146,NHMO-06170	
Sparganothis rubicundana	monophyletic		MM04147,MM08289,MM08489	
Spatalistis bifasciana	monophyletic		MM11009,BC ZSM Lep 61558,BC ZSM Lep 23058,BC ZSM Lep 38002,MM15664,UKLB40D03	
Sphaleroptera adamelloi	monophyletic		TLMF Lep 06758,TLMF Lep 06757	
Sphaleroptera alpicolana	monophyletic		TLMF Lep 04562,TLMF Lep 04563,MM20538,TLMF Lep 04567,TLMF Lep 04566	
Sphaleroptera dentana	monophyletic		TLMF Lep 01070,TLMF Lep 04564	
Sphaleroptera occidentana	monophyletic		TLMF Lep 01769,TLMF Lep 01085,TLMF Lep 06915,TLMF Lep 01770	
Sphaleroptera orientana	monophyletic		TLMF Lep 04561,TLMF Lep 04559,TLMF Lep 06914,TLMF Lep 06913,TLMF Lep 04560,TLMF Lep 01069,TLMF Lep 04558,TLMF Lep 01066,TLMF Lep 01067	
Syndemis musculana	monophyletic		TLMF Lep 07924,TLMF Lep 02043,MM05292,UKLB28B06,RMNH.INS.538942,RMNH.INS.538943,BC ZSM Lep 61213,TLMF Lep 04257,BC ZSM Lep 23193,RMNH.INS.544502,BC ZSM Lep 23414,UKLB29D03,MM02045,MM00524,BC ZSM Lep 23415,UKLB31E03,BC ZSM Lep 23192	
Tortricodes alternella	monophyletic		UKLB38A04,MM19618,TLMF Lep 04227,TLMF Lep 04242,RMNH.INS.538667,TLMF Lep 04226,BC ZSM Lep 23367,UKLB41E01,RMNH.INS.538683	
Tortrix viridana	monophyletic		MM04996,UKLB32E02,RMNH.INS.540847,MM00510,TLMF Lep 02125,BC ZSM Lep 28732,TLMF Lep 08019,BC ZSM Lep 23059,RMNH.INS.540874,BC ZSM Lep 28730,UKLB25B10,MM06724,UKLB28C08,UKLB27C06,RMNH.INS.540845	
Xerocnephasia rigana	monophyletic		TLMF Lep 03183,TLMF Lep 03182,BC ZSM Lep 25150,TLMF Lep 06919,TLMF Lep 06918,TLMF Lep 06917,TLMF Lep 06916,TLMF Lep 01057	
